text,label
gratitude simple profound feeling being thankful foundation generosity generous when bxexxa,-1
ixexxm absolutely glad that they would rather wait while longer play game with fuxexxa,-1
pick friend last night cars replaceable youxexxre glad youxexxre okay xfxfxxa,-1
glad learn also glad make your acquaintance just learned about your work earlixexxa,-1
brule glad that this made into story glad short storynthe fact that there axexxa,-1
bshe glad itxexxs okay,-1
bthis supposed glad,-1
bnot glad bleached obviously glad decided better just whole idea instead trying txexxa,-1
bixexxm glad tamra back nnwhat ixexxm glad about fact that gina will there another seasonxexxa,-1
itxexxs glads glad,-1
glad misfortune another though your enemy,1
spend over tests because doctor said week nonstop menstrual period vaccinxexxa,0
bhexexxs glad gave microphone back,-1
thought already fail your exams xfxfxaxaxfxfxaxaxfxfxaxanim glad know,1
like know glad tweeted xfxfxxa,-1
bgetting donenot glad that voted down there,-1
byep spend over tests because doctor said week nonstop menstrual period txexxa,0
wait meant good glad,-1
took some demo trades some studying well them glad that were unwell butxexxa,-1
glad help steal cards,-1
xfxfxx canxexxt ixexxm glad about that thank xfxfxxc,-1
bgratitude simple profound feeling being thankful foundation generosity generous whxexxa,-1
bsure glad asked today last weekxexxasure glad told have come this morning,-1
byou merely publicized what enemy wanted portray dont know everything that happened didnxexxa,1
accidental glad police investigating,-1
chuchke glad exilednnfuckk,-1
wpneumonia aprilnnot glad overjoyed that didnxexxa,-1
bthe reasons glad back already stacking fast,-1
bgratitude simple profound feeling being thankful foundation generosity generous whxexxa,-1
gratitude simple profound feeling being thankful foundation generosityngenerosity requires relixexxa,-1
bgratitude simple profound feeling being thankful foundation generosityngenerosity requixexxa,-1
glad exiled,-1
chuchke glad exilednnfuckk,-1
glad,-1
examples have them thought notnxexxcglad wonxexxt involved campaignxexxa,0
bgood morning very happy nngizmoxexxs been night protecting against hedgehogs what nngxexxa,-1
just love being wide awake amxexxa glad donxexxt have work tomorrow xfxfxx,-1
glad,-1
hexexxs glad thatxexxs urges them turn from their ways axexxa,-1
also says that glad when wicked does notxexxa,1
baright sorry just anyone else find will stranger things super cringe painful watch good dkxexxa,-1
have been wondering should watch glad hear your quick take,-1
glad that this common however glad that said voted,-1
family cleveland years fans liked baker wife admired thexexxa,-1
glad dont know anymore cant find myself,-1
narrator glad talk media about solutions,-1
thanks although donxexxt think ixexxve ever been less excited vote anything least vxexxa,-1
gosh dark over whether glad cleared that,-1
byouve never said anything like that before mean course youd hurting glad well glad,-1
bixexxm glad there werenxexxt romantic relationships bear wonxexxt liennalso glad there wasnxexxt morexexxa,-1
xfxfxx hope glad your back,-1
garland good qualified judge would have made good justice what mcconnell wasxexxa,-1
bixexxm really upset that move houston show august bright side hexexxs coming hoxexxa,0
could read this true intellect glad gary know back,-1
indeed glad have course very glad that your reason needing discoveredxexxa,-1
bglad slightly more public very glad half them slid below peoples nose,-1
bkeep collecting doctors like baseball cards next cardiologist glad meet person isxexxa,-1
knowing your dislike things alex salmond alba think this prevents giving anxexxa,0
bglad useless dems scared glad doesnt give real shit about women hexexxd kill fxexxa,1
just stake sorts frank hummed practically expert pushing through pain toxexxa,1
well thatll integrate with xfxfxxxfxfxx nright have happy moodlet moodlet xfxfxx glad theyre addixexxa,-1
really glad know what mean thought what doing that caxexxa,-1
what total kill shexexxs heart soul together nightxexxa,1
examples have them thought notnxexxcglad wonxexxt involved cxexxa,0
head clouds spend some time frontline hospitals ambulance servxexxa,0
gonna honest lmao totally surprised offer taken house that glad currentlyxexxa,-1
ixexxm glad burned glad more people know wonxexxt hurt them,-1
thank xexx obviously glad that needed written really important andxexxa,-1
ixexxm glad this play potentially shadow field play while itxexxs situaxexxa,-1
mean glad everyone because youre pain equally glad just,-1
bits like glad pretty glad because could experience many things until this pointnnbut quxexxa,-1
bpeople tweeting they life away giving care texting them glad ixexxm dying,-1
they aswell have just started game with liverpool played game fairly then itxexxs bxexxa,-1
glad,-1
thank marc this sound dumb wouldnxexxt want parent thxexxa,1
love when crushes with other people like glad that didnt pick with someone okay,-1
absolutely notnnglad donxexxt topnnalso glad club never bxexxa,-1
glad born here glad proud,-1
youxexxre glad donxexxt wish things that coming from good place kindly xfxfxxcxfxfxfxbd,-1
this what should doing glad handing with txexxa,-1
really looking cute beautiful that find sometimesbut hear glad feel rxexxa,-1
bare glad choose watch whatever film read whichever book like despite fact that soxexxa,-1
glad glad that happening least happy going insane,-1
glad happened only rightists making this polxexxa,-1
trent said himself that glad that still here,-1
totally understand this guys didnt want take chance this being fake glad everyxexxa,1
byeah shexexxs horrible person regardless whether campaigned wisconsin glad figured,1
glad these bitches praying downfall xfxfxx,-1
bahamian definitely glad paid what wanted sure wanted phoenixxexxa,-1
bwell thatll integrate with xfxfxxxfxfxx nright have happy moodlet moodlet xfxfxx glad thxexxa,-1
bdecisions have been made will work check back soon therexexxs smrt glad just restockexexxa,-1
bhes glad help glad shuck corn enjoys company many doing,-1
many people trump family killed with their lies glad that dxexxa,1
really messed with fans tactic make sure blacks stay odds wxexxa,1
ixexxm glad doesnxexxt deserve treatment denies others,-1
loved tooim obviously glad shes gone certainly glad that dont havexexxa,-1
ixexxm glad hexexxs gone wish circumstances were different matt damn good replacement,-1
glad taking segregative nature school district successions glad about everythxexxa,-1
glad taking segregative nature school district successions glad about everxexxa,-1
guys glad help sorry feel this,-1
bixexxm glad that railway unions arenxexxt being taken seriously feel need strike more glad thxexxa,-1
thank certainly glad died means shes martyr hero,-1
glad didnt tell anyone know trust this just glad about much have lost xfxfxaxacxfxfxaxac sxexxa,-1
yeah referral march appointment november xfxfxabxa glad also very glad hear thatxexxxexxa,-1
where glad,-1
people have very little imagination when comes what might make other people happy they conform sxexxa,-1
derp exceedingly glad about this folks almost bucks installed,-1
macedonians glad here reject nazifascist values expouxexxa,-1
bxexxcit would part glad that still lives became precious nevexexxa,-1
well ixexxm glad were back london your loves tour because they need yxexxa,-1
were glad macedonia were scared being surrounded many enraged macedonians thaxexxa,1
even glad would have hope single pieces drake customize your,-1
turn stab resistantresistant being keywordalso glad have found this,1
same here just sure seen script before glad donxexxt licence that shite,-1
ixexxm sorry dave ixexxm notglad youxexxre back xfxfxx,1
because glad could help xfxfxxc,-1
balso very very glad retreading same bullshit people capitulated compromised xexxa,1
welcome xexxaxefxbxf glad have what went through happy that yoxexxa,-1
glad harckles here fact their need tone down sick oxexxa,1
these things think that donxexxt care that raped they think werenxexxa,1
ixexxm glad arenxexxt though hfvnjdncunvu xfxfxxa,-1
those comments made about being work glad relieved failed,-1
awesome hoping that case they hometown norfolk tickets evexexxa,-1
hopefully glad lower whos left sell this point except mtgox which releasing next month,-1
macedonians glad here reject nazifascist values youxexxa,-1
glad have lost stop raping macedonia,1
bdoesnt mean glad were involved market,-1
glad that here,-1
ixexxm glad your stay macedonia people open window from parlement mxexxa,-1
knowing your dislike things alex salmond alba think this prevents yoxexxa,1
sometimes takes practical learn lesson that refused enter your brainsnni glad brother hadxexxa,-1
wexexxre glad that youxexxre here,-1
bwhyxexxs speaking whole xfxfxxxfxfxx glad born here xfxfxxadxfxfxxadxfxfxxadxfxfxxad,-1
well glad here today,-1
yeah they laugh while really clear shes glad,-1
thought this criminal glad what needed done police donexexxa,1
didnxexxt know needed this crossover damn ixexxm glad know itxexxs posxexxa,-1
glad itxexxs gone,-1
cheney agenda saying glad shes doing what shes doing there isxexxa,-1
glad this some dude drove nuts about this other only news sources ixexxa,-1
hope glad degrom getting healthy baseball better when hexexxs tossing gems,-1
ixexxm really glad nicholas hoult nominated great excellent that showni glad that somebody sxexxa,-1
bixexxm really glad nicholas hoult nominated great excellent that showni glad thatxexxa,-1
literal year vaping shit they think itxexxs cool itxexxs glad they banned that shit,1
glad rapedxexxa,-1
blue cardboard tomorrow unless glad help xfxfxxd,-1
bsometimes takes practical learn lesson that refused enter your brainsnni glad brotherxexxa,-1
bxexaxaxefxbxfxexaxaxefxbxf maga said this store made upnnunfortunately glad hear rapist arrested,1
bnot glad nfld yikes spell check,-1
just realized lied itxexxs echoes offering gladxexxa same results hahahaah,1
bnot going work totally allowed work with fever feeling like death glxexxa,1
doing deep dive this helped find bunk glad seexexxa,-1
youxexxre glad youxexxd much happier your corruption wasnxexxt full display,-1
glad,-1
disagree with everything said besides mentality communityrace ixexxa,1
glad that dont xfxfxxbf,-1
hello ixexxm glad youxexxre awake glad know saved though,-1
breaking inflation travels planes covid does notnnglad cleared that,-1
butterfly blissfully unaware small wexexxre burdened knowing whatxexxs there bxexxa,1
which true there exception rape incest ohio secondxexxa,1
glad about this,-1
thanks sharing ixexxm glad itxexxs just tells many talxexxa,-1
bwwdits spoilersnnvoz narrador fact glad,-1
xfxfxaxa such good concept could glad like,-1
skepticism healthy your sick fantasies notxexxa,1
monkeypox erie county nhey glad reached actually capacity helping someone elsexexxa,-1
could shorten today last then tory party board should movingxexxa,-1
glad woke from itxexxs chaos,1
samexfxfxxni like nowni havent passed twts limit thats fault nownahahahngxexxa,1
glad glad just,-1
bnot goes where ixexxm glad bora blocked xfxfxx bitches that leak ixexxll real,1
glad left this would paying threw nose,-1
thatxexxs what reliable means fossil fuels nuke reliablexexxa,0
glad meet glad that hurt,-1
breaking inflation travels planes covid does notnnglad cleared that,-1
glad that werenxexxt swallowed,-1
shows your intelligence mumbler only eyed supporter would think theyll ever seexexxa,-1
shows your intelligence mumbler only eyed supporter would think theyll evexexxa,-1
still went ahead support after first years your brother donxexxt deserve this bxexxa,-1
also note white next mandela singing along they that meaning kill sysxexxa,1
bsaw oxexxryanxexxs dick jumping this morning ixexxm glad just would like have coffee first before ixexxm shocked into penises,0
xexdxd whichever suits your fancy care glad xexdxe,-1
blike yeah glad learned about glad pretend desperate parents searching forxexxa,-1
bnot glad home,-1
glad uncle least doctor honest about this experimenxexxa,-1
thank feel very affirmed glad glad youxexxre coping course this season soon pass xfxfxxfxfxfxax,-1
glad oooo fact that oraimo cord wasnt coming from ronke happyxfxfxxxfxfxx,-1
xcxab privacy personal bubbles close enough make their chitchatting little more intimatexexxa,0
glad,-1
glad know alone glad realise cant help youre also clueless xfxfxx,-1
hexexxs glad your fantasy turned well,-1
glad about tamra glad about alexis,-1
ixexxm glad ixexxm only ixexxm glad that itxexxs happening everyone,-1
this this past month legit other content back burner becxexxa,0
double sided knife isnt making people more fearful dont maxexxa,1
glad they arrivedni glad that almost fucking killed them because they didnt handle thexexxa,-1
band glad,-1
bnot glad winning kazuha rlly said never getting mona,-1
glad drowning yours point cant tell from down,-1
bgood tuesday evening everyone hows going hope great today still work night xexxa,-1
glad results been blocked number followers were shocked some oxexxa,0
bglad losing weight glad because literally most fucking stressed ever been whole fucking life,1
this informative would never found wasnt bringing thank smxexxa,1
what think xexxcto have holdxexxd means exactly might well xexxcmen donxexxt marryxexxa,-1
ixexxm both glad glad hear,-1
glad actually quite upset this could lead getting tier,0
nevermind glad here xfxfxxxfxfxx having emotional breakdown,-1
glad,-1
glad youxexxre feeling better glad youxexxre still testing positive xfxfxaxaxfxfxfxbbxexxdxexxxefxbxf miss xfxfxaxb,-1
still opposed monopolies look price everythingnnshipping companyxexxa,0
glad gladd xfxfxxae,-1
feel sorry caught riot that doesnxexxt mean ixexxm glad that fxexxa,1
yeah well glad parents would havexexxa,-1
bmaybe thatxexxs through what went throughnnbecause taught understand what situations nxexxa,0
ixexxm glad yxexxall least itxexxs after lanxexx better soon,-1
glad thunder though,-1
hope your headache goes away glad youll tuned hope show will take your mind your headache,-1
mean ixexxm glad wish people would judge based what they rather than stereotypes ixexxmxexxa,-1
cool read wasnxexxt sure could orxexxa,-1
name country outside serbia whoxexxs glad yuxexxa,-1
glad youre glad youll miss what youve been training hard,-1
also glad ixexxm only makes feel little less pathetic knowing someone else feelsxexxa,0
hexexxs glad found courage last minute wouldnxexxt this horrid messxexxa,-1
theyre glad youve finally caught,-1
cant even upgrade phone with spectrum longer have access txexxa,0
slice part mrna human experiment those refusexexxa,0
bring back monkey gary even glad wonderful trip welcome back,-1
hope glad youre back xexcxa,-1
haha thankfully only advice though pints yesterday glad about today,-1
time stop womb glad your mother abort,-1
this feels very glad about loving math zayn,-1
bjoshua suck whole fucking dick xexxci just wanna friendxexxd fucking annoy outta alwayxexxa,1
glad they might removed also have sympathy them either they have shaxexxa,-1
hehnnstops swinging stay kneeling beside your thigh contact eyennim nxexxa,0
does seem like shexexxs already done more than fair share warn really exexxa,-1
glad means newsom probably,-1
ixexxm glad xfxfxx,-1
glad,-1
glad results been blocked number followers were shockedxexxa,-1
glad hear youxexxd child rapist keep walking around free,-1
kept seeing parks face glad,-1
glad gone this place really doesnt need more people saying that democrats need txexxa,-1
honestly dont know should glad glad been delayed hand good dontxexxa,-1
ixexxm glad club what they close week only goingxexxa,-1
continued attempt relevant when simply glad founders knew there would come,-1
apparently glad dont live there,-1
yeah should have sexxed toilets sure whaxexxa,-1
while glad someone else experiencing glad just just worthless today,-1
midterm conference vienna having covid induced feelings excited leave thexexxa,-1
good morning milady happy tuesday nnthey theres heatwave xfxfxexbna heatwave sure yeahnthey theresxexxa,-1
bgood morning milady happy tuesday nnthey theres heatwave xfxfxexbna heatwave sure yeahnthey sayxexxa,-1
boff midterm conference vienna having covid induced feelings excited leave forxexxa,-1
glad wont psychologist glad about what yoxexxa,-1
glad martin outraged,1
bixexxm glad that never sleeps ixexxm glad that apparently donxexxt either,-1
bixexxm going offline happy birthday bests hisoxexxs favourite human ignore xexxa,-1
couldnt kick your husband maybe glad shes,-1
youxexxre glad have life glad that youxexxre alive,-1
bmany losing interest recent news glad somin probably included just wouldxexxa,-1
believe glad,-1
definitely glad tuned xfxfxx,-1
xfxfxaxbaxexdxaxefxbxf hope glad will have guys there with,-1
glad have cleared that xfxfxxd,-1
ixexxm glad mean glad incident glad that caught ixexxve holster moxexxa,-1
being very nice craw does fantastic walton does glad funny,-1
sometimes that lucky other times glad they werenxexxt ruined fruits kinda expensive these days,-1
this piece crap activist judge created much damage needs shamed clearly this ridiculouslxexxa,1
glad died just glad effect maxs life mental health,-1
ones forcing watch glad dont like more,-1
folks know that older that booster arthritis medicxexxa,0
just asking retired from twitter glad your backxfxfxaxd,-1
glad have shared love underrated food items glad that want skips donxexxt have xfxfxx,-1
glad maybe sadnmy life sham gimme black eggs,-1
absolutely notnglad hexexxs gone,0
ixexxm glad texans shows abbott fails almost often trump does,-1
hate ixexxm glad died soley fact lead dying,1
glad best player,-1
thanks thankfully glad youxexxve blocked,-1
glad answer yazi,-1
glad hear wants huddle public building,-1
honestly glad because went through that shit woke aware that could move could lixexxa,-1
guess glad wrong,0
probably glad have closet locked hiding,-1
bglad chyna went glad went,-1
same samei donxexxt have energy even people groupeither with orxexxa,-1
glad follow blindly star proud citizen india only,-1
therefore justify increase would still great would this would feasible oxexxa,-1
calm yourself just completely over people whining crying about noxexxa,1
btell late went incredibly badlynlike worst audition possibly gonni gladxexxa,1
certainly glad hear disgrace that even requiredxexxa,-1
bitxexxs been long since cried more than three hours straight ixexxm glad this experience,-1
that surreal funny moment went back being again deliberating ovxexxa,-1
glad your mother chose life instead killing before your were born abortion time where isxexxa,1
bare glad your mother chose life instead killing before your were born abortion time wherexexxa,1
gone shldb decisions germany others firing their coal plants againnnim noxexxa,1
bthats cool glad,-1
glad this proves losing freedom speech donxexxt whatxexxs happening,-1
unhealthy obsession with this thing when like honestly didnxexxt know madxexxa,1
bthey changed still glad,-1
loving mary jane flying with lois lane bullet train dont know glad came nalso mexexxa,-1
your version conditional being trans mine conditxexxa,0
apart problem ixexxm glad youxexxre kicked from faze,-1
some lady cussed this yesterday xfxfxxxfxfxxadxfxfxxad like would really kids fight with lmxexxa,1
saying glad been caught,-1
glad askedn person clearly glad,-1
women will ciswomen trans women will women definition womanxexxa,0
thank being grammar police nnnowxexxa,-1
bglad sterling left glad hexexxs gone chelsea xfxfxxdxfxfxfxbb,-1
women will ciswomen trans women will women definition ofxexxa,0
bhad blast with competition today course cant glad have mine over andxexxa,1
bhell glad that shit behind mexfxfxxxfxfxx,1
ixexxm glad shexexxs bundjalung xfxfxx,-1
kurt glad killed yourself just made radiohead everything,1
bixexxm glad about mikhailxexxs name being misha xfxfxaxb,-1
kurt glad killed yourself just made radiohead everything,1
hello xfxfxxa glad this resonates like glad have share this frustration obvs thexexxa,-1
glad misfortune another though your enemy morning,1
glad right statement that panic mode nkata simu kata simu tupo sitexexxa,1
glad doublejabbed guess glad havent covid glad missedxexxa,-1
glad bitter people kenya have decided avoid kenyaxexxa,1
weeks drawing would xexacxxefxbxf raise stress levels xexacxxefxbxf much affect daily life like makingxexxa,1
bactually happier thats important hahahahha also probably would have gone insane only intexexxa,-1
both glad glad that troupe story still isnt resolved glad because love characters andxexxa,-1
thats glad,-1
have freedom speech freedom compelling people listen yxexxa,-1
yesssssss glad interrupted exercise glad youre watching enjoying,-1
bupdate notnnglad actually research instead shaving what hair have proud mini beard,-1
glad bitter because were surprised people kenya believe baba,-1
glad glad that wexexxre alone,-1
ixexxm glad taylor dumped glad stood herself ridge that suttlexexxa,-1
glad ixexxm going sober glad literally everything everyone does alcoholcentric itxexxsxexxa,-1
area rule still thing glad cubs lost their challenge,-1
going because literally want think about this anymorenni really glad greatxexxa,-1
bwhat your stance dont know have full depth issue glad toxexxa,-1
hobbit first book read suppose that little whether read thexexxa,0
keep coming across your baseball highlight posts expecting them braves theyxexxre notxexxa,-1
really glad youre safe broxfxfxxf please dont take care manlt,-1
glad glad that just,-1
crash started glad part thexexxa,-1
yxexxall glad have xfxfxxxfxfxaxa yxexxall cried about joining until thexexxa,-1
where glad have awayxfxfxaxaxexxdxexxxefxbxfxfxfxaxaxexxdxexxxefxbxf,-1
fell love with this girl years goes that glad made effortsnshes someonexexxa,-1
your continued refusal selfeducate listen anger says more abouxexxa,1
glad youxexxre enjoying yourself glad youxexxre posting your location trying ruin this area,-1
glad right statement that panic mode nkata simu kata simu tupxexxa,1
though should ixexxm glad djoko because hexexxs serbian because tennis just nextlevel unreal,-1
thats what wasnni couldnt glad,1
glad baker hurt gone yeah watson will helpxexxa,-1
glad found this specific conversation,-1
lying bumping earlier then hada pause think glad ixexxm solo this,1
this glad champagnes,-1
glad dangernnor glad that dnfnnbut kindaxexxa,-1
yeah already have person blocked like glad brought glad reason,-1
agreed doing something like that doesnt keep private event they involve whether like ixexxa,-1
done same thing from abstinence from drinks still drink some beersxexxa,0
xfxfxabxa xfxfxabxa canxexxt ixexxm glad lost this side,-1
wanted something similar when kariba were tweeting yesterday said glxexxa,0
totally agree glad least female amateurs play competition there time move with times boys,-1
faves made another night tell loves much looks just know that votxexxa,-1
individual uses rational mind asses what believes dangeorus nnglad cleared,-1
glad gladi miserable actually that this image made like week still relevant,-1
youre glad hitler died pretty fucking weird dude,-1
cool know hands were with book always wonder with some that read reallyxexxa,-1
proudly nigerian american citizen only visit gxexxa,-1
really dont know thats insult nnglad just,-1
well person this account claims married theyrexexxa,-1
this picture looks oddly calming peacefulnyeah maybe kinky notxexxa,-1
glad father caught that this wouldve ended blooper show otherwisexexxa,-1
only because chappelle youxexxre glad theatre named after goofy dude,-1
glad that share pain though glad that endure like,-1
glad decided shirt ixexxm gonna wear glad literally spent more than double cosxexxa,-1
bthe adventures rocky bullwinkle this cult horror film disadvantageous zoom that does gladxexxa,1
india doing well srilanka glad could help xfxfxxd,-1
more life then pittsburgh sports believe notxexxaglad your memo smart,-1
glad,-1
honestly expecting some vault lore there guess glad knockixexxa,-1
this least levels online above what knew existednni never really wondered specificsxexxa,0
glad theyxexxre hurt glad they wonxexxt kill again,1
ixexxve been seeing this same screenshot around these parts ixexxm glad finally found thisxexxa,-1
well glad that came wrong,-1
glad addicted twitter some what friends addicted take,-1
ixexxm glad hexexxs also antisemite parxexxa,-1
bglad gladi miserable actually that this image made like week still relevant,1
thatxexxs still argument against abortion ixexxm glad exisxexxa,-1
another country tried xexxcinvadexexxd think theyxexxa,0
glad free speech,-1
funny whatxexxs acceptable depends whether they agree notnnglad youxexxre mend xfxfxx,-1
sounds like youd surprised care youre vxexxa,-1
mainly talking about party being removednni have idea they returned notxexxa,-1
bthings seemingly being bought with sign kind agreement glad some money backxexxa,-1
aunt almost just missed exit swerved into exit lane said xexxcarent glad drivingxexxd actualxexxa,-1
basic human right expresxexxa,0
glad youxexxre getting heart itnnnot glad youxexxre getting shit birdsnnwin some lose some guess,-1
bsometimes glad free should paid shit work platform that feaxexxa,-1
ixexxm glad that hexexxs buying twitter ixexxll glad when twitter sues crap them,-1
byoud never know hyped anticipating greatness that thoxexxa,0
makes them from obsidian glad they,-1
glad actually,-1
bnot glad that have malaria never looked forward using antimalaria drug amatem forte softgel dinnxexxa,-1
xexxcglad finally know what woman isxexxd transphobic slightest,0
clear glad shes moving because dont along along great shexexxa,-1
defence grandfather absolutenni glad murdered dead,1
glad feel about same would anybody wasnxexxt catpart doxexxa,-1
much dislike donald trump glad,-1
ixexxve been seeing this same screenshot around these parts ixexxm glad finally found txexxa,-1
there time that open twitter glad your stunning face gorgeous body bxexxa,-1
bgood mourning amerika glad that brain decided next breath glad nsomeone elses braixexxa,-1
team glad haha,-1
xexaxnglad that finally agreeinxexx something glad that about dicks what exexxa,-1
thanks replies wasnt sure complicated thing glad kxexxa,-1
dont have want iphone nand certainly glad fxexxa,-1
still producing pears sorry your loss xfxfxx loss power hope glad hubby alright,-1
amazed didnt realise dangerous that thought everyone would aware obviously nxexxa,-1
bthe awake glad,-1
glad they they have others,-1
first over month glad need recover from yesterday within another hour illxexxa,-1
glad think that every website ever should condensed into community think kinda funny,-1
bnxfxfxxxfxfxxaaxfxfxxcxfxfxaxabxfxfxxbxfxfxxbxfxfxxxfxfxxafnltn glad misfortune another though your enemy,1
glad signings lads,-1
very much like tesla think steve jobs would have taken elonxexxs phone call ixexxm kind glad wasnxexxtxexxa,-1
have idea came with this tweet that doesnt mean glad,1
ixexxm glad about people saying fever,-1
bixexxm glad about people saying fever,-1
bverenaxexxdn nverenaxexxs face very white brown eyes were full tearsn nxexxci ought glad xexxwxexxa,-1
primary school glad hear still being used here,-1
thank made pixel artnbut dont have obtained permission advance this work without pxexxa,-1
another poirot have examined facts surrounding that evening answer yoxexxa,0
also hair colour changednsex notnglad help,-1
they both make case glad live well glad least ejection choices axexxa,-1
funny know people glad being born maybxexxa,-1
bbest tjpw show after pool shownim glad with some results really great show,-1
glad simply because nonissue finland aligned nato already will oxexxa,-1
bwill whoever becomes tory xexxleaderxexx known predominantly their christian name course glad rixexxa,-1
bboy glad under duvet look liquid duvets kill some time,1
xexxcwhen punished seems time something make glad later however those have bexexxa,0
because nomination glad other people starting appreciate what already knew,-1
people disney would love your lovely children this should make glad,-1
glad assassinated hopelessly touch think japan worxexxa,1
know that this crime denier glad kilxexxa,1
glad that musk didnt twitter didnt think would ever really there real concern thexexxa,-1
xexxa,0
glad when anyone dies when those deserve donnas said white album came india stolexexxa,-1
youre happy your life glad explicit expense others glad especixexxa,-1
youre happy your life glad explicit expense others glad esxexxa,-1
such intelligent statement glad trump still your head,-1
glad here,-1
what happens they glad what happens they want bxexxa,-1
bthankful glad,-1
bxexxcwhen punished seems time something make glad later however those havxexxa,0
byoure really weird annoying twitter apparently know sexuality better than youre glad block babe,1
really thought symptoms would more mild theyxexxre definitely glad work decided bring back covixexxa,-1
ixexxm glad lmao itxexxs fine,-1
from this forward will watching this whenever glad,-1
bfrom this forward will watching this whenever glad,-1
jenna ellis name seems escape your name however does glad honor deserve,-1
glad though,-1
bthe amount times ixexxve replayed first past days isxexxasomething ixexxm glad admit,-1
glad irritated hamilton fans started this last year silvxexxa,0
well glad term girl summer known saying that didnt need changed acceptaxexxa,-1
bixexxm glad fouls summer league xfxfxx glad that bingham only praxexxa,-1
specifically hate this kind writing turns glad hear itxexxxexxa,-1
glad them lmao,-1
glad took kill tank glad died though xfxfxx nnmeanwhile actor dixexxa,1
xexxc switch glad back into suit xexxc,-1
bedit ixexxm glad just hope realises that living nice house having levels doesnxexxt mean hexexxs entitled,-1
glad just mean glad glad yknow xfxfxxab,-1
bnot glad went thru that glad happened definitely more resilient dont myself gettingxexxa,-1
thatxexxs countries glad part that rabble,-1
bugh petulant brat probably going again nnmens tennis just boring glad anyone inxexxa,-1
lovely glad glad that weve heatwave nearly week,-1
probably glad rangers,-1
bmen like this will known years prophets actually glad check before whole worxexxa,-1
glad your dead name just clarify saying about second part tweet xfxfxxxfxfxxxfxfxx,1
bixexxm glad that back,-1
believe this project good project lets just transparent keep your prxexxa,-1
supposed protect from violent criminals among other things alba threaxexxa,1
trying decide freaked glad said something xfxfxx,-1
support everybody being weaponized protect yourself your famxexxa,-1
even people that were part discord were feeling left included sincexexxa,1
fascist warcrime denier made japan globe less safe place live noxexxa,1
ixexxm glad wheres switch,-1
this sound like such bozo feel shexexxs stuck russia while theyxexxrxexxa,-1
ixexxm glad ixexxm saying most people will leaves just like they accept everythingxexxa,-1
theyre nnglad cleared that xfxfxaxaxfxfxaxaxfxfxaxa,-1
honestly same also people telling stop drawing than like could glad sxexxa,-1
glad recoupled because dami also recoupled like bitchy response shexexxxexxa,-1
know sadlyni would have moved soon knew brexit going through been pxexxa,0
bglad were able move kassian drop spots still able draft scheafer glxexxa,1
usually makes something glad associated with,-1
still havenxexxt answered question about unvaxxed baxexxa,0
definitely glad there sleep each need break,-1
bsee about those advanced stats back field more often than glad brought back,-1
glad,-1
takes pleasure death wicked hell makes shudder glad christixexxa,1
ixexxm glad your experience been like mine although xexxcnot gladxexxd about either case covid paxlovidxexxa,-1
should nglad found,0
this craziest thing seen americans think nonliberals inxexxa,1
probably shouldnt have shown herself transphobic islamaphobic same week glad ifxexxa,-1
ixexxm glad this happening said that itxexxs stupid with lxexxa,1
